price,location,listingid,updatedprice,title,reviewCount,rating,type,photos
896,Sahuarita,1,0,odio est dolores,298,3.90,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
223,Massapequa,2,0,dolorum omnis corrupti,239,4.49,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
1167,Sutter Creek,3,0,ab hic esse,96,4.45,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
228,Chanhassen,4,0,qui molestias quas,230,3.05,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
360,Johnson City,5,0,expedita quo tempora,81,3.79,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
771,Spring Valley,6,0,voluptate non laboriosam,61,3.60,entire place,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
412,Dixons Mills,7,0,laboriosam qui tempora,222,4.33,hotel room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
128,Port Jefferson,8,0,et minus recusandae,213,3.81,private room,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
384,Marianna,9,0,sapiente aut ea,199,4.82,hotel room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
148,Whitley City,10,0,et et quod,28,3.60,private room,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
790,Adelanto,11,0,dicta repudiandae perspiciatis,74,3.62,private room,"['https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
963,Millville,12,0,dolores facere explicabo,19,4.15,entire place,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
1001,Hudsonville,13,0,quis dolorem laborum,21,3.85,shared room,"['https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment','https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment', 'https://loremflickr.com/320/240/apartment']"
