listingId,location,price,updatedprice
1,896,Sahuarita,0
2,223,Massapequa,0
3,1167,Sutter Creek,0
4,228,Chanhassen,0
5,360,Johnson City,0
6,771,Spring Valley,0
7,412,Dixons Mills,0
8,128,Port Jefferson,0
9,384,Marianna,0
10,148,Whitley City,0
11,790,Adelanto,0
12,963,Millville,0
13,1001,Hudsonville,0
14,848,Hempstead,0
15,549,Gravois Mills,0
16,900,Waltonville,0
17,621,Cross Junction,0
18,464,College Station,0
19,1104,Lake Elsinore,0
20,175,Pompton Plains,0
21,874,La Salle,0
22,868,Donaldsonville,0
23,364,Old Westbury,0
24,765,San Juan Capistrano,0
25,594,Edmeston,0
26,997,Mendham,0
27,941,Central Falls,0
28,540,Lanoka Harbor,0
29,415,Hazleton,0
30,633,Mattapan,0
31,723,Sharpsburg,0
32,596,Donora,0
33,45,City of Saint Marys,0
34,851,Ninnekah,0
35,430,Vestal,0
36,932,Nixa,0
37,185,Wilsonville,0
38,544,Butner,0
39,283,Salt Rock,0
40,617,Coatesville,0
41,506,Crane,0
42,910,Pioneer,0
43,92,Martell,0
44,1041,Lunenburg,0
45,322,Corbin,0
46,427,Rankin,0
47,165,Lombard,0
48,62,Savanna,0
49,1054,Slater,0
50,529,Patchogue,0
51,651,Central Islip,0
52,1115,Jerusalem,0
53,827,East Branch,0
54,171,Susquehanna,0
55,1087,Grand Terrace,0
56,942,La Junta,0
57,707,Pinehill,0
58,244,Rapid City,0
59,99,West Sunbury,0
60,1153,Goleta,0
61,372,North Salem,0
62,651,North Royalton,0
63,482,Wewahitchka,0
64,439,Rockwall,0
65,441,Blountstown,0
66,178,Edgerton,0
67,314,Marengo,0
68,520,Hastings,0
69,473,Malden,0
70,328,Westhampton Beach,0
71,252,Katonah,0
72,834,Eagle Lake,0
73,278,Manheim,0
74,866,Exton,0
75,668,Houston,0
76,1130,Auburn Hills,0
77,1046,Kane'ohe,0
78,962,Martinez,0
79,1153,Duncansville,0
80,379,Falmouth,0
81,1053,Valley Park,0
82,777,Saint Johns,0
83,565,Fairport,0
84,545,Clear Fork,0
85,577,Kingsbury,0
86,49,McHenry,0
87,574,Lincoln Park,0
88,623,Cottontown,0
89,1004,Stockholm,0
90,940,Whitehouse,0
91,856,Rowesville,0
92,410,River Falls,0
93,574,Fort Gibson,0
94,154,Jamestown,0
95,752,Canyon,0
96,212,Henniker,0
97,790,Euclid,0
98,107,Leominster,0
99,953,Fort Bragg,0
100,482,Apache Junction,0
